"","Year","State","Name","Alcoholic Beverage Tax (T10)","Alcoholic Beverage Lic (T20)"
"100",2016,"50","WI STATE GOVT","58,970","1,823"
"101",2016,"51","WY STATE GOVT","1,919","X"
"102",2015,"00","US STATE GOVTS","6424720","595796"
"103",2015,"01","AL STATE GOVT","192,490","4,217"
"104",2015,"02","AK STATE GOVT","39,836","1,845"
"105",2015,"03","AZ STATE GOVT","71,270","6,764"
"106",2015,"04","AR STATE GOVT","53,256","4,751"
"107",2015,"05","CA STATE GOVT","357,373","56,512"
"108",2015,"06","CO STATE GOVT","41,392","6,875"
"109",2015,"07","CT STATE GOVT","61,612","9,040"
"110",2015,"08","DE STATE GOVT","20,708","1,910"
"111",2015,"10","FL STATE GOVT","459,019","8,515"
"112",2015,"11","GA STATE GOVT","184,374","3,972"
"113",2015,"12","HI STATE GOVT","50,281","X"
"114",2015,"13","ID STATE GOVT","8,937","1,701"
"115",2015,"14","IL STATE GOVT","283,177","13,156"
"116",2015,"15","IN STATE GOVT","46,064","13,464"
"117",2015,"16","IA STATE GOVT","22,686","15,315"
"118",2015,"17","KS STATE GOVT","132,589","2,567"
"119",2015,"18","KY STATE GOVT","131,951","6,495"
"120",2015,"19","LA STATE GOVT","57,416","X"
"121",2015,"20","ME STATE GOVT","18,312","6,300"
"122",2015,"21","MD STATE GOVT","30,956","1,385"
"123",2015,"22","MA STATE GOVT","80,815","3,345"
"124",2015,"23","MI STATE GOVT","145,399","17,201"
"125",2015,"24","MN STATE GOVT","85,142","2,307"
"126",2015,"25","MS STATE GOVT","42,094","3,282"
"127",2015,"26","MO STATE GOVT","36,208","5,122"
"128",2015,"27","MT STATE GOVT","33,860","2,222"
"129",2015,"28","NE STATE GOVT","29,873","1,817"
"130",2015,"29","NV STATE GOVT","43,799","X"
"131",2015,"30","NH STATE GOVT","12,328","4,583"
"132",2015,"31","NJ STATE GOVT","138,548","4,199"
"133",2015,"32","NM STATE GOVT","45,735","0"
"134",2015,"33","NY STATE GOVT","250,899","61,173"
"135",2015,"34","NC STATE GOVT","359,880","24,877"
"136",2015,"35","ND STATE GOVT","9,485","377"
"137",2015,"36","OH STATE GOVT","101,090","41,959"
"138",2015,"37","OK STATE GOVT","116,772","959"
"139",2015,"38","OR STATE GOVT","17,811","4,627"
"140",2015,"39","PA STATE GOVT","358,887","17,183"
"141",2015,"40","RI STATE GOVT","19,538","126"
"142",2015,"41","SC STATE GOVT","166,501","12,631"
"143",2015,"42","SD STATE GOVT","16,690","801"
"144",2015,"43","TN STATE GOVT","159,768","1,446"
"145",2015,"44","TX STATE GOVT","1,147,565","68,483"
"146",2015,"45","UT STATE GOVT","51,221","1,936"
"147",2015,"46","VT STATE GOVT","24,839","438"
"148",2015,"47","VA STATE GOVT","257,229","13,025"
"149",2015,"48","WA STATE GOVT","331,405","133,757"
"150",2015,"49","WV STATE GOVT","18,159","1,333"
"151",2015,"50","WI STATE GOVT","57,596","1,803"
"152",2015,"51","WY STATE GOVT","1,885","X"
"153",2014,"00","US STATE GOVTS","6,170,211","610,716"
"154",2014,"01","AL STATE GOVT","181,427","4,225"
"155",2014,"02","AK STATE GOVT","39,078","1,905"
"156",2014,"03","AZ STATE GOVT","71,136","5,246"
"157",2014,"04","AR STATE GOVT","51,618","4,187"
"158",2014,"05","CA STATE GOVT","354,297","55,550"
"159",2014,"06","CO STATE GOVT","40,886","7,212"
"160",2014,"07","CT STATE GOVT","60,686","9,265"
"161",2014,"08","DE STATE GOVT","19,616","1,547"
"162",2014,"10","FL STATE GOVT","452,370","8,663"
"163",2014,"11","GA STATE GOVT","181,875","3,829"
"164",2014,"12","HI STATE GOVT","48,305","0"
"165",2014,"13","ID STATE GOVT","8,780","1,617"
"166",2014,"14","IL STATE GOVT","279,587","12,626"
"167",2014,"15","IN STATE GOVT","45,955","13,073"
"168",2014,"16","IA STATE GOVT","14,187","14,879"
"169",2014,"17","KS STATE GOVT","126,861","3,575"
"170",2014,"18","KY STATE GOVT","128,534","6,374"
"171",2014,"19","LA STATE GOVT","56,967","0"
"172",2014,"20","ME STATE GOVT","17,923","5,393"
"173",2014,"21","MD STATE GOVT","30,808","1,358"
"174",2014,"22","MA STATE GOVT","78,817","3,056"
"175",2014,"23","MI STATE GOVT","143,641","16,540"
"176",2014,"24","MN STATE GOVT","84,202","2,304"
"177",2014,"25","MS STATE GOVT","42,402","2,945"
"178",2014,"26","MO STATE GOVT","35,760","5,308"
"179",2014,"27","MT STATE GOVT","30,053","3,215"
"180",2014,"28","NE STATE GOVT","30,258","1,475"
"181",2014,"29","NV STATE GOVT","42,917","0"
"182",2014,"30","NH STATE GOVT","12,755","4,306"
"183",2014,"31","NJ STATE GOVT","139,438","3,965"
"184",2014,"32","NM STATE GOVT","44,968","0"
"185",2014,"33","NY STATE GOVT","250,926","64,576"
"186",2014,"34","NC STATE GOVT","343,344","15,916"
"187",2014,"35","ND STATE GOVT","9,220","367"
"188",2014,"36","OH STATE GOVT","98,397","41,327"
"189",2014,"37","OK STATE GOVT","110,941","1,326"
"190",2014,"38","OR STATE GOVT","17,627","4,609"
"191",2014,"39","PA STATE GOVT","346,008","16,952"
"192",2014,"40","RI STATE GOVT","18,383","76"
"193",2014,"41","SC STATE GOVT","162,313","11,382"
"194",2014,"42","SD STATE GOVT","16,205","840"
"195",2014,"43","TN STATE GOVT","147,812","1,317"
"196",2014,"44","TX STATE GOVT","1,068,051","71,661"
"197",2014,"45","UT STATE GOVT","48,413","1,936"
"198",2014,"46","VT STATE GOVT","24,065","430"
"199",2014,"47","VA STATE GOVT","207,672","12,756"
"200",2014,"48","WA STATE GOVT","321,412","153,263"
"201",2014,"49","WV STATE GOVT","17,295","1,380"
"202",2014,"50","WI STATE GOVT","57,958","1,785"
"203",2014,"51","WY STATE GOVT","1,828","0"
"204",2013,"00","US STATE GOVTS","6062487","690869"
"205",2013,"01","AL STATE GOVT","173252","4230"
"206",2013,"02","AK STATE GOVT","39194","1788"
"207",2013,"03","AZ STATE GOVT","68684","5164"
"208",2013,"04","AR STATE GOVT","50656","4424"
"209",2013,"05","CA STATE GOVT","357000","53008"
"210",2013,"06","CO STATE GOVT","39217","6734"
"211",2013,"07","CT STATE GOVT","52015","8803"
"212",2013,"08","DE STATE GOVT","18412","1943"
"213",2013,"10","FL STATE GOVT","486278","8332"
"214",2013,"11","GA STATE GOVT","180786","3512"
"215",2013,"12","HI STATE GOVT","48962","0"
"216",2013,"13","ID STATE GOVT","8588","1727"
"217",2013,"14","IL STATE GOVT","279928","12289"
"218",2013,"15","IN STATE GOVT","45248","12940"
"219",2013,"16","IA STATE GOVT","13865","14564"
"220",2013,"17","KS STATE GOVT","119462","3282"
"221",2013,"18","KY STATE GOVT","121753","6281"
"222",2013,"19","LA STATE GOVT","56879","0"
"223",2013,"20","ME STATE GOVT","17518","5377"
"224",2013,"21","MD STATE GOVT","30867","1266"
"225",2013,"22","MA STATE GOVT","77357","3067"
"226",2013,"23","MI STATE GOVT","142867","18041"
